-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1361,1293,1293,1293,1293,1293,1293,1293,1293,1293,1362,-1
1361,1293,1293,1293,1293,1293,1293,1293,1293,1293,1362,-1
1361,1489,1489,1489,1489,1489,1489,1489,1489,1489,1362,-1
1361,1489,1489,1489,1489,1489,1489,1489,1489,1489,1362,-1
1361,1489,1489,1489,1489,1489,1489,1698,1489,1489,1062,-1
1361,1489,1222,1489,1489,1489,1489,1698,1489,1489,1362,-1
1361,1489,1336,1489,1489,1489,1489,1489,1489,1489,1362,-1
1361,1489,1489,1489,1489,1489,1489,1489,1489,1489,1362,-1
-1,1008,1008,1008,1008,1008,1008,1008,1008,1008,-1,-1
