-1,-1,-1,-1,-1,-1,-1,-1,120,120,120,120,120,120,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,120,120,120,120,120,120,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1524,1524,1524,1524,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1524,1524,1524,1524,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,233,233,233,233,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1524,1524,1524,1524,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1524,1524,1524,1524,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,233,233,233,233,1524,1524,1062,-1
-1,-1,-1,-1,-1,-1,-1,-1,1524,1524,1335,1337,1524,1524,1362,-1
-1,120,120,120,120,120,120,120,1524,1524,1524,1524,1524,1524,-1,-1
-1,120,120,120,120,120,120,120,233,233,233,233,1524,1524,-1,-1
-1,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,-1,-1
-1,1524,1524,233,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,-1,-1
-1,1524,1524,1524,1524,1524,1524,1524,233,233,1524,1524,233,233,-1,-1
-1,1223,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,-1,-1
-1,233,233,233,233,1524,1524,1524,1524,1524,1221,1222,1223,1524,-1,-1
-1,1524,1524,1524,1524,1524,1524,1524,1524,1524,1278,1279,1280,1524,-1,-1
-1,1524,1524,1524,1524,1524,1524,1524,1524,1524,1335,1336,1337,1524,-1,-1
-1,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
